Age of 118th Congress,Title,Party,Birth Month & Day,Age,Number of Terms
Sen. Rick Scott (R-FL),US Senator,Republican,12/1/1952,70.0,1
Sen. Tim Scott (R-SC),US Senator,Republican,9/19/1965,58.0,4
Sen. Jeanne Shaheen (D-NH),US Senator,Democrat,1/28/1947,76.0,3
Sen. Kyrsten Sinema (I-AZ),US Senator,Independent,7/12/1976,47.0,1
Sen. Tina Smith (D-MN),US Senator,Democrat,3/4/1958,65.0,3
Sen. Debbie Stabenow (D-MI),US Senator,Democrat,4/29/1950,73.0,4
Sen. Dan Sullivan (R-AK),US Senator,Republican,11/13/1964,58.0,2
Sen. Jon Tester (D-MT),US Senator,Democrat,8/21/1956,67.0,3
Whip John Thune (R-SD),US Senator,Republican,1/7/1961,62.0,4
Sen. Thom Tillis (R-NC),US Senator,Republican,8/30/1960,63.0,2
Sen. Tommy Tuberville (R-AL),US Senator,Republican,9/18/1954,69.0,1
Sen. J.D. Vance (R-OH),US Senator,Republican,8/2/1984,39.0,1
Sen. Chris Van Hollen (D-MD),US Senator,Democrat,1/10/1959,64.0,2
Sen. Mark Warner (D-VA),US Senator,Democrat,12/15/1954,68.0,3
Sen. Raphael Warnock (D-GA),US Senator,Democrat,7/23/1969,54.0,2
Sen. Elizabeth Warren (D-MA),US Senator,Democrat,6/22/1949,74.0,2
Sen. Peter Welch (D-VT),US Senator,Democrat,5/2/1947,76.0,1
Sen. Sheldon Whitehouse (D-RI),US Senator,Democrat,10/20/1955,68.0,3
Sen. Roger Wicker (R-MS),US Senator,Republican,7/5/1951,72.0,4
Sen. Ron Wyden (D-OR),US Senator,Democrat,5/3/1949,74.0,6
Sen. Todd Young (R-IN),US Senator,Republican,8/24/1972,51.0,2
Rep. Alma Adams (D-NC-12),US Representative,Democrat,5/27/1946,77.0,6
Rep. Robert Aderholt (R-AL-4),US Representative,Republican,7/22/1965,58.0,14
Rep. Pete Aguilar (D-CA-33),US Representative,Democrat,6/19/1979,44.0,5
Rep. Mark Alford (R-MO-4),US Representative,Republican,10/4/1963,60.0,1
Rep. Rick Allen (R-GA-12),US Representative,Republican,11/7/1951,71.0,5
Rep. Colin Allred (D-TX-32),US Representative,Democrat,4/15/1983,40.0,3
Rep. Mark Amodei (R-NV-2),US Representative,Republican,6/12/1958,65.0,7
Rep. Kelly Armstrong (R-ND-1),US Representative,Republican,10/8/1976,47.0,3
Rep. Jodey Arrington (R-TX-19),US Representative,Republican,3/9/1972,51.0,4
Rep. Jake Auchincloss (D-MA-4),US Representative,Democrat,1/29/1988,35.0,2
Rep. Brian Babin (R-TX-36),US Representative,Republican,3/23/1948,75.0,5
Rep. Don Bacon (R-NE-2),US Representative,Republican,8/16/1963,60.0,4
Rep. Jim Baird (R-IN-4),US Representative,Republican,6/4/1945,78.0,3
Rep. Troy Balderson (R-OH-12),US Representative,Republican,1/16/1962,61.0,4
Rep. Becca Balint (D-VT-1),US Representative,Democrat,5/4/1968,55.0,1
Rep. Jim Banks (R-IN-3),US Representative,Republican,7/16/1979,44.0,4
Rep. Andy Barr (R-KY-6),US Representative,Republican,7/24/1973,50.0,6
Rep. Nanette Barragán (D-CA-44),US Representative,Democrat,9/15/1976,47.0,4
Rep. Aaron Bean (R-FL-4),US Representative,Republican,1/25/1967,56.0,1
Rep. Joyce Beatty (D-OH-3),US Representative,Democrat,3/12/1950,73.0,6
Rep. Cliff Bentz (R-OR-2),US Representative,Republican,1/12/1952,71.0,2
Rep. Ami Bera (D-CA-6),US Representative,Democrat,3/2/1965,58.0,6
Rep. Jack Bergman (R-MI-1),US Representative,Republican,2/2/1947,76.0,4
Rep. Don Beyer (D-VA-8),US Representative,Democrat,6/20/1950,73.0,5
Rep. Stephanie Bice (R-OK-5),US Representative,Republican,11/11/1973,49.0,2
Rep. Andy Biggs (R-AZ-5),US Representative,Republican,11/7/1958,64.0,4
Rep. Gus Bilirakis (R-FL-12),US Representative,Republican,2/8/1963,60.0,9
Rep. Dan Bishop (R-NC-8),US Representative,Republican,7/1/1964,59.0,3
Rep. Sanford Bishop (D-GA-2),US Representative,Democrat,2/4/1947,76.0,16
Rep. Earl Blumenauer (D-OR-3),US Representative,Democrat,8/16/1948,75.0,15
