Age of 118th Congress,Title,Party,Birth Month & Day,Age,Number of Terms
Rep. Jake LaTurner (R-KS-2),US Representative,Republican,2/17/1988,35.0,2
Rep. Mike Lawler (R-NY-17),US Representative,Republican,,,1
Rep. Barbara Lee (D-CA-12),US Representative,Democrat,7/16/1946,77.0,14
Rep. Laurel Lee (R-FL-15),US Representative,Republican,3/26/1974,49.0,1
Rep. Summer Lee (D-PA-12),US Representative,Democrat,11/26/1987,35.0,1
Rep. Susie Lee (D-NV-3),US Representative,Democrat,11/7/1966,56.0,3
Rep. Teresa Leger Fernandez (D-NM-3),US Representative,Democrat,7/1/1959,64.0,2
Rep. Debbie Lesko (R-AZ-8),US Representative,Republican,11/14/1959,63.0,4
Rep. Julia Letlow (R-LA-5),US Representative,Republican,3/16/1981,42.0,2
Rep. Mike Levin (D-CA-49),US Representative,Democrat,10/20/1978,45.0,3
Rep. Ted Lieu (D-CA-36),US Representative,Democrat,3/29/1969,54.0,5
Rep. Zoe Lofgren (D-CA-18),US Representative,Democrat,12/21/1947,75.0,15
Rep. Barry Loudermilk (R-GA-11),US Representative,Republican,12/22/1963,59.0,5
Rep. Frank Lucas (R-OK-3),US Representative,Republican,1/6/1960,63.0,15
Rep. Blaine Luetkemeyer (R-MO-3),US Representative,Republican,5/7/1952,71.0,8
Rep. Anna Luna (R-FL-13),US Representative,Republican,5/6/1989,34.0,1
Rep. Morgan Luttrell (R-TX-8),US Representative,Republican,11/7/1975,47.0,1
"Rep. Stephen ""Steve"" Lynch (D-MA-8)",US Representative,Democrat,3/31/1955,68.0,12
Rep. Nancy Mace (R-SC-1),US Representative,Republican,12/4/1977,45.0,2
Rep. Seth Magaziner (D-RI-2),US Representative,Democrat,7/22/1983,40.0,1
Rep. Nicole Malliotakis (R-NY-11),US Representative,Republican,11/11/1980,42.0,2
Rep. Tracey Mann (R-KS-1),US Representative,Republican,12/17/1976,46.0,2
Rep. Kathy Manning (D-NC-6),US Representative,Democrat,12/3/1956,66.0,2
Rep. Thomas Massie (R-KY-4),US Representative,Republican,1/13/1971,52.0,7
Rep. Brian Mast (R-FL-21),US Representative,Republican,7/10/1980,43.0,4
Rep. Doris Matsui (D-CA-7),US Representative,Democrat,9/25/1944,79.0,10
Rep. Lucy McBath (D-GA-7),US Representative,Democrat,6/1/1960,63.0,3
Rep. Kevin McCarthy (R-CA-20),US Representative,Republican,1/26/1965,58.0,9
Rep. Michael McCaul (R-TX-10),US Representative,Republican,1/14/1962,61.0,10
Rep. Lisa McClain (R-MI-9),US Representative,Republican,4/7/1966,57.0,2
Rep. Jennifer McClellan (D-VA-4),US Representative,Democrat,12/28/1972,50.0,1
Rep. Tom McClintock (R-CA-5),US Representative,Republican,7/10/1956,67.0,8
Rep. Betty McCollum (D-MN-4),US Representative,Democrat,7/12/1954,69.0,12
Rep. Rich McCormick (R-GA-6),US Representative,Republican,10/7/1968,55.0,1
Rep. Morgan McGarvey (D-KY-3),US Representative,Democrat,12/23/1979,43.0,1
Rep. Jim McGovern (D-MA-2),US Representative,Democrat,11/20/1959,63.0,14
Speaker Patrick McHenry (R-NC-10),US Representative,Republican,10/22/1975,48.0,10
Rep. Cathy McMorris Rodgers (R-WA-5),US Representative,Republican,5/22/1969,54.0,10
Rep. Gregory Meeks (D-NY-5),US Representative,Democrat,9/25/1953,70.0,13
Rep. Rob Menendez (D-NJ-8),US Representative,Democrat,7/12/1985,38.0,1
Rep. Grace Meng (D-NY-6),US Representative,Democrat,10/1/1975,48.0,6
Rep. Dan Meuser (R-PA-9),US Representative,Republican,2/10/1954,69.0,3
Rep. Kweisi Mfume (D-MD-7),US Representative,Democrat,10/24/1948,74.0,3
Rep. Carol Miller (R-WV-1),US Representative,Republican,11/4/1950,72.0,3
Rep. Mary Miller (R-IL-15),US Representative,Republican,8/27/1959,64.0,2
Rep. Max Miller (R-OH-7),US Representative,Republican,11/13/1988,34.0,1
Rep. Mariannette Miller-Meeks (R-IA-1),US Representative,Republican,9/6/1955,68.0,2
Rep. Cory Mills (R-FL-7),US Representative,Republican,7/13/1980,43.0,1
Rep. Marc Molinaro (R-NY-19),US Representative,Republican,10/8/1975,48.0,1
Rep. John Moolenaar (R-MI-2),US Representative,Republican,5/8/1961,62.0,5
Rep. Alex Mooney (R-WV-2),US Representative,Republican,6/7/1971,52.0,5
Rep. Barry Moore (R-AL-2),US Representative,Republican,9/26/1966,57.0,2
Rep. Blake Moore (R-UT-1),US Representative,Republican,6/22/1980,43.0,2
Rep. Gwen Moore (D-WI-4),US Representative,Democrat,4/18/1951,72.0,10
Rep. Nathaniel Moran (R-TX-1),US Representative,Republican,9/23/1974,49.0,1
"Rep. Joseph ""Joe"" Morelle (D-NY-25)",US Representative,Democrat,4/29/1957,66.0,4
Rep. Jared Moskowitz (D-FL-23),US Representative,Democrat,12/18/1980,42.0,1
Rep. Seth Moulton (D-MA-6),US Representative,Democrat,10/24/1978,44.0,5
"Del. James ""Jim"" Moylan (R-GU-1)",US Delegate,Republican,7/18/1962,61.0,1
Rep. Frank Mrvan (D-IN-1),US Representative,Democrat,4/16/1969,54.0,2
Rep. Kevin Mullin (D-CA-15),US Representative,Democrat,6/15/1970,53.0,1
"Rep. Gregory ""Greg"" Murphy (R-NC-3)",US Representative,Republican,3/5/1963,60.0,3
Rep. Jerry Nadler (D-NY-12),US Representative,Democrat,6/13/1947,76.0,16
Rep. Grace Napolitano (D-CA-31),US Representative,Democrat,12/4/1936,86.0,13
"Rep. Richard ""Richie"" Neal (D-MA-1)",US Representative,Democrat,2/14/1949,74.0,18
Rep. Joe Neguse (D-CO-2),US Representative,Democrat,5/13/1984,39.0,3
Rep. Troy Nehls (R-TX-22),US Representative,Republican,4/7/1968,55.0,2
Rep. Dan Newhouse (R-WA-4),US Representative,Republican,7/10/1955,68.0,5
Rep. Wiley Nickel (D-NC-13),US Representative,Democrat,11/23/1975,47.0,1
Rep. Donald Norcross (D-NJ-1),US Representative,Democrat,12/13/1958,64.0,6
Rep. Ralph Norman (R-SC-5),US Representative,Republican,6/20/1953,70.0,4
Del. Eleanor Norton (D-DC-1),US Delegate,Democrat,6/13/1937,86.0,17
Rep. Zach Nunn (R-IA-3),US Representative,Republican,5/4/1979,44.0,1
Rep. Jay Obernolte (R-CA-23),US Representative,Republican,8/18/1970,53.0,2
Rep. Alexandria Ocasio-Cortez (D-NY-14),US Representative,Democrat,10/13/1989,34.0,3
Rep. Andy Ogles (R-TN-5),US Representative,Republican,6/18/1971,52.0,1
Rep. Ilhan Omar (D-MN-5),US Representative,Democrat,10/4/1982,41.0,3
Rep. Burgess Owens (R-UT-4),US Representative,Republican,8/2/1951,72.0,2
Rep. Frank Pallone (D-NJ-6),US Representative,Democrat,10/30/1951,71.0,18
Rep. Gary Palmer (R-AL-6),US Representative,Republican,5/14/1954,69.0,5
Rep. Jimmy Panetta (D-CA-19),US Representative,Democrat,10/1/1969,54.0,4
Rep. Chris Pappas (D-NH-1),US Representative,Democrat,6/4/1980,43.0,3
Rep. Bill Pascrell (D-NJ-9),US Representative,Democrat,1/25/1937,86.0,14
Rep. Donald Payne (D-NJ-10),US Representative,Democrat,12/17/1958,64.0,7
Rep. Nancy Pelosi (D-CA-11),US Representative,Democrat,3/26/1940,83.0,19
Rep. Mary Peltola (D-AK-1),US Representative,Democrat,8/31/1973,50.0,2
Rep. Greg Pence (R-IN-6),US Representative,Republican,11/14/1956,66.0,3
Rep. Scott Perry (R-PA-10),US Representative,Republican,5/27/1962,61.0,6
Rep. Scott Peters (D-CA-50),US Representative,Democrat,6/17/1958,65.0,6
Rep. Brittany Pettersen (D-CO-7),US Representative,Democrat,12/6/1981,41.0,1
Rep. August Pfluger (R-TX-11),US Representative,Republican,12/28/1977,45.0,2
Rep. Dean Phillips (D-MN-3),US Representative,Democrat,1/20/1969,54.0,3
Rep. Chellie Pingree (D-ME-1),US Representative,Democrat,4/2/1955,68.0,8
Del. Stacey Plaskett (D-VI-1),US Delegate,Democrat,5/13/1964,59.0,5
Rep. Mark Pocan (D-WI-2),US Representative,Democrat,8/14/1964,59.0,6
Rep. Katie Porter (D-CA-47),US Representative,Democrat,1/3/1974,49.0,3
Rep. Bill Posey (R-FL-8),US Representative,Republican,12/18/1947,75.0,8
Rep. Ayanna Pressley (D-MA-7),US Representative,Democrat,2/3/1974,49.0,3
Rep. Mike Quigley (D-IL-5),US Representative,Democrat,10/17/1958,65.0,8
"Del. Amata ""Aumua Amata"" Radewagen (R-AS-1)",US Delegate,Republican,12/29/1947,75.0,5
Rep. Delia Ramirez (D-IL-3),US Representative,Democrat,6/2/1983,40.0,1
Rep. Jamie Raskin (D-MD-8),US Representative,Democrat,12/13/1962,60.0,4
Rep. Guy Reschenthaler (R-PA-14),US Representative,Republican,4/17/1983,40.0,3
Rep. Hal Rogers (R-KY-5),US Representative,Republican,12/31/1937,85.0,22
Rep. Mike Rogers (R-AL-3),US Representative,Republican,7/16/1958,65.0,11
Rep. John Rose (R-TN-6),US Representative,Republican,2/23/1965,58.0,3
Rep. Matt Rosendale (R-MT-2),US Representative,Republican,7/7/1960,63.0,2
Rep. Deborah Ross (D-NC-2),US Representative,Democrat,6/20/1963,60.0,2
Rep. David Rouzer (R-NC-7),US Representative,Republican,2/16/1972,51.0,5
Rep. Chip Roy (R-TX-21),US Representative,Republican,8/7/1972,51.0,3
Rep. Raul Ruiz (D-CA-25),US Representative,Democrat,8/25/1972,51.0,6
Rep. Dutch Ruppersberger (D-MD-2),US Representative,Democrat,1/31/1946,77.0,11
Rep. John Rutherford (R-FL-5),US Representative,Republican,9/2/1952,71.0,4
Rep. Pat Ryan (D-NY-18),US Representative,Democrat,3/28/1982,41.0,2
"Del. Gregorio ""Kilili"" Sablan (D-MP-1)",US Delegate,Democrat,1/19/1955,68.0,7
Rep. Maria Salazar (R-FL-27),US Representative,Republican,11/1/1961,61.0,2
Rep. Andrea Salinas (D-OR-6),US Representative,Democrat,12/6/1969,53.0,1
Rep. Linda Sánchez (D-CA-38),US Representative,Democrat,1/28/1969,54.0,11
Rep. George Santos (R-NY-3),US Representative,Republican,7/22/1988,35.0,1
Rep. John Sarbanes (D-MD-3),US Representative,Democrat,5/22/1962,61.0,9
Leader Steve Scalise (R-LA-1),US Representative,Republican,10/6/1965,58.0,9
Rep. Mary Scanlon (D-PA-5),US Representative,Democrat,8/30/1959,64.0,4
Rep. Jan Schakowsky (D-IL-9),US Representative,Democrat,5/26/1944,79.0,13
Rep. Adam Schiff (D-CA-30),US Representative,Democrat,6/22/1960,63.0,12
Rep. Brad Schneider (D-IL-10),US Representative,Democrat,8/20/1961,62.0,4
Rep. Hillary Scholten (D-MI-3),US Representative,Democrat,2/22/1982,41.0,1
Rep. Kim Schrier (D-WA-8),US Representative,Democrat,8/23/1968,55.0,3
Rep. David Schweikert (R-AZ-1),US Representative,Republican,3/3/1962,61.0,7
Rep. Austin Scott (R-GA-8),US Representative,Republican,12/10/1969,53.0,7
Rep. Bobby Scott (D-VA-3),US Representative,Democrat,4/30/1947,76.0,16
Rep. David Scott (D-GA-13),US Representative,Democrat,6/27/1945,78.0,11
Rep. Keith Self (R-TX-3),US Representative,Republican,3/20/1953,70.0,1
Rep. Pete Sessions (R-TX-17),US Representative,Republican,3/22/1955,68.0,2
Rep. Terri Sewell (D-AL-7),US Representative,Democrat,1/1/1965,58.0,7
Rep. Brad Sherman (D-CA-32),US Representative,Democrat,10/24/1954,68.0,14
Rep. Mikie Sherrill (D-NJ-11),US Representative,Democrat,1/19/1972,51.0,3
Rep. Mike Simpson (R-ID-2),US Representative,Republican,9/8/1950,73.0,13
Rep. Elissa Slotkin (D-MI-7),US Representative,Democrat,7/10/1976,47.0,3
Rep. Adam Smith (D-WA-9),US Representative,Democrat,6/15/1965,58.0,14
Rep. Adrian Smith (R-NE-3),US Representative,Republican,12/19/1970,52.0,9
Rep. Chris Smith (R-NJ-4),US Representative,Republican,3/4/1953,70.0,22
Rep. Jason Smith (R-MO-8),US Representative,Republican,6/16/1980,43.0,6
Rep. Lloyd Smucker (R-PA-11),US Representative,Republican,1/23/1964,59.0,4
Rep. Eric Sorensen (D-IL-17),US Representative,Democrat,3/18/1976,47.0,1
Rep. Darren Soto (D-FL-9),US Representative,Democrat,2/25/1978,45.0,4
Rep. Abigail Spanberger (D-VA-7),US Representative,Democrat,8/7/1979,44.0,3
Rep. Victoria Spartz (R-IN-5),US Representative,Republican,10/6/1978,45.0,2
Rep. Melanie Stansbury (D-NM-1),US Representative,Democrat,1/31/1979,44.0,2
Rep. Greg Stanton (D-AZ-4),US Representative,Democrat,3/8/1970,53.0,3
Rep. Pete Stauber (R-MN-8),US Representative,Republican,5/10/1966,57.0,3
Rep. Michelle Steel (R-CA-45),US Representative,Republican,6/21/1955,68.0,2
Rep. Elise Stefanik (R-NY-21),US Representative,Republican,7/2/1984,39.0,5
Rep. Bryan Steil (R-WI-1),US Representative,Republican,3/3/1981,42.0,3
Rep. Greg Steube (R-FL-17),US Representative,Republican,5/19/1978,45.0,3
Rep. Haley Stevens (D-MI-11),US Representative,Democrat,6/24/1983,40.0,3
Rep. Marilyn Strickland (D-WA-10),US Representative,Democrat,9/25/1962,61.0,2
Rep. Dale Strong (R-AL-5),US Representative,Republican,5/8/1970,53.0,1
Rep. Eric Swalwell (D-CA-14),US Representative,Democrat,11/16/1980,42.0,6
Rep. Emilia Sykes (D-OH-13),US Representative,Democrat,1/4/1986,37.0,1
Rep. Mark Takano (D-CA-39),US Representative,Democrat,12/10/1960,62.0,6
Rep. Claudia Tenney (R-NY-24),US Representative,Republican,2/4/1961,62.0,2
Rep. Shri Thanedar (D-MI-13),US Representative,Democrat,2/22/1955,68.0,1
Rep. Bennie Thompson (D-MS-2),US Representative,Democrat,1/28/1948,75.0,16
"Rep. Glenn ""G.T."" Thompson (R-PA-15)",US Representative,Republican,7/27/1959,64.0,8
Rep. Mike Thompson (D-CA-4),US Representative,Democrat,1/24/1951,72.0,13
Rep. Tom Tiffany (R-WI-7),US Representative,Republican,12/30/1957,65.0,3
Rep. William Timmons (R-SC-4),US Representative,Republican,4/30/1984,39.0,3
Rep. Dina Titus (D-NV-1),US Representative,Democrat,5/23/1950,73.0,6
Rep. Rashida Tlaib (D-MI-12),US Representative,Democrat,7/24/1976,47.0,3
Rep. Jill Tokuda (D-HI-2),US Representative,Democrat,3/3/1976,47.0,1
Rep. Paul Tonko (D-NY-20),US Representative,Democrat,6/18/1949,74.0,8
Rep. Norma Torres (D-CA-35),US Representative,Democrat,4/4/1965,58.0,5
Rep. Ritchie Torres (D-NY-15),US Representative,Democrat,3/12/1988,35.0,2
Rep. Lori Trahan (D-MA-3),US Representative,Democrat,10/27/1973,49.0,3
Rep. David Trone (D-MD-6),US Representative,Democrat,9/21/1955,68.0,3
Rep. Mike Turner (R-OH-10),US Representative,Republican,1/11/1960,63.0,11
Rep. Lauren Underwood (D-IL-14),US Representative,Democrat,10/4/1986,37.0,3
Rep. David Valadao (R-CA-22),US Representative,Republican,4/14/1977,46.0,2
"Rep. Jefferson ""Jeff"" Van Drew (R-NJ-2)",US Representative,Republican,2/23/1953,70.0,3
Rep. Beth Van Duyne (R-TX-24),US Representative,Republican,11/16/1970,52.0,2
Rep. Derrick Van Orden (R-WI-3),US Representative,Republican,9/15/1969,54.0,1
Rep. Juan Vargas (D-CA-52),US Representative,Democrat,3/7/1961,62.0,6
Rep. Gabe Vasquez (D-NM-2),US Representative,Democrat,8/3/1984,39.0,1
Rep. Marc Veasey (D-TX-33),US Representative,Democrat,1/3/1971,52.0,6
Rep. Nydia Velazquez (D-NY-7),US Representative,Democrat,3/28/1953,70.0,16
Rep. Ann Wagner (R-MO-2),US Representative,Republican,9/13/1962,61.0,6
Rep. Tim Walberg (R-MI-5),US Representative,Republican,4/12/1951,72.0,7
Rep. Mike Waltz (R-FL-6),US Representative,Republican,1/31/1974,49.0,3
Rep. Debbie Wasserman Schultz (D-FL-25),US Representative,Democrat,9/27/1966,57.0,10
Rep. Maxine Waters (D-CA-43),US Representative,Democrat,8/15/1938,85.0,17
Rep. Bonnie Watson Coleman (D-NJ-12),US Representative,Democrat,2/6/1945,78.0,5
Rep. Randy Weber (R-TX-14),US Representative,Republican,7/2/1953,70.0,6
"Rep. Daniel ""Dan"" Webster (R-FL-11)",US Representative,Republican,4/27/1949,74.0,7
Rep. Brad Wenstrup (R-OH-2),US Representative,Republican,6/17/1958,65.0,6
Rep. Bruce Westerman (R-AR-4),US Representative,Republican,11/18/1967,55.0,5
Rep. Jennifer Wexton (D-VA-10),US Representative,Democrat,5/27/1968,55.0,3
Rep. Susan Wild (D-PA-7),US Representative,Democrat,6/7/1957,66.0,4
Rep. Brandon Williams (R-NY-22),US Representative,Republican,,,1
Rep. Nikema Williams (D-GA-5),US Representative,Democrat,7/30/1978,45.0,2
Rep. Roger Williams (R-TX-25),US Representative,Republican,9/13/1949,74.0,6
"Rep. Frederica ""Freddi"" Wilson (D-FL-24)",US Representative,Democrat,11/5/1942,80.0,7
Rep. Joe Wilson (R-SC-2),US Representative,Republican,7/31/1947,76.0,12
Rep. Rob Wittman (R-VA-1),US Representative,Republican,2/3/1959,64.0,9
Rep. Steve Womack (R-AR-3),US Representative,Republican,2/18/1957,66.0,7
Rep. Rudy Yakym (R-IN-2),US Representative,Republican,2/24/1984,39.0,2
Rep. Ryan Zinke (R-MT-1),US Representative,Republican,11/1/1961,61.0,1
